state,date,sector,supply
W.P. Labuan,2018-10-01,total,888.3003490489848
Selangor,2018-10-01,total,975.1252693414395
Perak,2018-10-01,total,892.2084374058333
Pulau Pinang,2018-10-01,total,1074.8196966912824
Perlis,2018-10-01,total,897.7708992698076
Melaka,2018-10-01,total,962.8360457963711
Sabah,2018-10-01,total,1079.5561537709525
Johor,2018-10-01,total,936.0239845545558
Kelantan,2018-11-01,total,952.1443121231986
Negeri Sembilan,2018-11-01,total,1140.7178013611267
Terengganu,2018-11-01,total,954.3927008608783
Kedah,2018-11-01,total,947.6352096218898
Sarawak,2018-11-01,total,774.653919419674
Pahang,2018-11-01,total,1093.5818468455132
W.P. Labuan,2018-11-01,total,927.049212046784
Selangor,2018-11-01,total,999.3172262375844
Perak,2018-11-01,total,1153.02836555513
Pulau Pinang,2018-11-01,total,1025.949161672857
Perlis,2018-11-01,total,938.1320545277191
Melaka,2018-11-01,total,1024.6583878540555
Sabah,2018-11-01,total,1045.2108321621115
Johor,2018-11-01,total,805.6634185379521
Kelantan,2018-12-01,total,804.9921539482644
Negeri Sembilan,2018-12-01,total,1005.0381395767139
Terengganu,2018-12-01,total,914.5100995494058
Kedah,2018-12-01,total,1151.0671704881008
Sarawak,2018-12-01,total,1087.297932769318
Pahang,2018-12-01,total,957.8763975828738
W.P. Labuan,2018-12-01,total,961.4873770534124
Selangor,2018-12-01,total,860.6136958818386
Perak,2018-12-01,total,846.7332716109812
Pulau Pinang,2018-12-01,total,1127.9101421383186
Perlis,2018-12-01,total,879.7500200591055
Melaka,2018-12-01,total,787.5711938637623
Sabah,2018-12-01,total,1158.7769785147505
Johor,2018-12-01,total,838.6935878644291
Kelantan,2019-01-01,total,872.8624726634415
Negeri Sembilan,2019-01-01,total,967.4365248604411
Terengganu,2019-01-01,total,954.1120984736194
Kedah,2019-01-01,total,918.3416180772816
Sarawak,2019-01-01,total,954.3757281263387
Pahang,2019-01-01,total,854.6111017357715
W.P. Labuan,2019-01-01,total,894.8055182920247
Selangor,2019-01-01,total,1182.7905599404796
Perak,2019-01-01,total,1066.225053572039
Pulau Pinang,2019-01-01,total,1066.8241653761318
Perlis,2019-01-01,total,860.5815126984636
Melaka,2019-01-01,total,894.0485046524935
Sabah,2019-01-01,total,1093.4332749619991
Johor,2019-01-01,total,858.9569377380835
Kelantan,2019-02-01,total,1043.7440633949827
Negeri Sembilan,2019-02-01,total,1078.9250896953697
Terengganu,2019-02-01,total,910.4887094598695
Kedah,2019-02-01,total,722.6355448405664
Sarawak,2019-02-01,total,839.8720567333545
Pahang,2019-02-01,total,1014.0221383691835
W.P. Labuan,2019-02-01,total,740.2296471190613
Selangor,2019-02-01,total,937.8950324588554
Perak,2019-02-01,total,877.3315836738872
Pulau Pinang,2019-02-01,total,1051.194776499092
Perlis,2019-02-01,total,889.2650995137578
Melaka,2019-02-01,total,957.4690061599822
Sabah,2019-02-01,total,946.6328581113488
Johor,2019-02-01,total,1051.5054556854975
Kelantan,2019-03-01,total,1085.9594911356073
Negeri Sembilan,2019-03-01,total,1243.9008828529993
Terengganu,2019-03-01,total,949.0795131536104
Kedah,2019-03-01,total,1227.812847683273
Sarawak,2019-03-01,total,861.2184762767765
Pahang,2019-03-01,total,881.829604996219
W.P. Labuan,2019-03-01,total,1146.81733982244
Selangor,2019-03-01,total,891.7073445198743
Perak,2019-03-01,total,1217.2031491452856
Pulau Pinang,2019-03-01,total,880.892499554689
Perlis,2019-03-01,total,1061.3530372598364
Melaka,2019-03-01,total,1238.7566025294252
Sabah,2019-03-01,total,1148.2425019720333
Johor,2019-03-01,total,931.5701413796919
Kelantan,2019-04-01,total,1093.0406789306912
Negeri Sembilan,2019-04-01,total,1042.9652814395738
Terengganu,2019-04-01,total,860.5479914768991
Kedah,2019-04-01,total,992.619082030804
Sarawak,2019-04-01,total,1226.371241608
Pahang,2019-04-01,total,995.8791988036434
W.P. Labuan,2019-04-01,total,1084.43004116952
Selangor,2019-04-01,total,1040.650883837705
Perak,2019-04-01,total,1104.614495724157
Pulau Pinang,2019-04-01,total,1219.134256166104
Perlis,2019-04-01,total,1138.850154758757
Melaka,2019-04-01,total,922.5015651085002
Sabah,2019-04-01,total,921.8491749069483
Johor,2019-04-01,total,920.6343404660456
Kelantan,2019-05-01,total,1009.6798526398479
Negeri Sembilan,2019-05-01,total,1022.4205448233538
Terengganu,2019-05-01,total,1221.0103717773845
Kedah,2019-05-01,total,1086.6564850042591
Sarawak,2019-05-01,total,961.493838038626
Pahang,2019-05-01,total,1237.7093029664884
W.P. Labuan,2019-05-01,total,940.8928983851873
Selangor,2019-05-01,total,1137.6320730256807
Perak,2019-05-01,total,1124.032898140908
Pulau Pinang,2019-05-01,total,987.6076165677185
Perlis,2019-05-01,total,968.4969104536169
Melaka,2019-05-01,total,1240.0549478134158
Sabah,2019-05-01,total,1225.6442841180776
Johor,2019-05-01,total,1197.3411422135443
Kelantan,2019-06-01,total,1000.924677233528
Negeri Sembilan,2019-06-01,total,1034.1252499757177
Terengganu,2019-06-01,total,979.6571994018026
Kedah,2019-06-01,total,1080.1036117930691
Sarawak,2019-06-01,total,1158.186109567195
Pahang,2019-06-01,total,969.6834523872096
W.P. Labuan,2019-06-01,total,1068.7321455275944
Selangor,2019-06-01,total,987.6180646655538
Perak,2019-06-01,total,1035.5361892833496
Pulau Pinang,2019-06-01,total,955.9890925701981
Perlis,2019-06-01,total,986.2028199777847
Melaka,2019-06-01,total,953.318784246419
Sabah,2019-06-01,total,1141.1399017413182
Johor,2019-06-01,total,997.8443849086266
Kelantan,2019-07-01,total,1017.1253583394581
Negeri Sembilan,2019-07-01,total,1226.5853452058955
Terengganu,2019-07-01,total,969.6291580247181
Kedah,2019-07-01,total,1241.5378990290194
Sarawak,2019-07-01,total,912.7869139094187
Pahang,2019-07-01,total,1063.6230830327174
W.P. Labuan,2019-07-01,total,887.2098755307375
Selangor,2019-07-01,total,913.8109291991698
Perak,2019-07-01,total,969.7341168639921
Pulau Pinang,2019-07-01,total,1128.409899946838
Perlis,2019-07-01,total,1169.7197748088122
Melaka,2019-07-01,total,880.7849218352319
Sabah,2019-07-01,total,1043.6694382287476
Johor,2019-07-01,total,892.023141061186
Kelantan,2019-08-01,total,969.6165382207703
Negeri Sembilan,2019-08-01,total,1104.8886165336144
Terengganu,2019-08-01,total,1038.152172246972
Kedah,2019-08-01,total,982.1393998994045
Sarawak,2019-08-01,total,844.3035755710567
Pahang,2019-08-01,total,1107.2163397443346
W.P. Labuan,2019-08-01,total,832.9641865874959
Selangor,2019-08-01,total,904.5675227747041
Perak,2019-08-01,total,1132.1865087753988
Pulau Pinang,2019-08-01,total,835.0008098083647
Perlis,2019-08-01,total,995.7230369278111
Melaka,2019-08-01,total,1226.542917439821
Sabah,2019-08-01,total,1211.0957993249929
Johor,2019-08-01,total,1095.0048714201816
Kelantan,2019-09-01,total,1037.2376995611228
Negeri Sembilan,2019-09-01,total,960.0606350316984
Terengganu,2019-09-01,total,957.5825827250942
Kedah,2019-09-01,total,874.376055974928
Sarawak,2019-09-01,total,866.5698759596169
Pahang,2019-09-01,total,964.7764561799158
W.P. Labuan,2019-09-01,total,829.7610556541964
Selangor,2019-09-01,total,953.5755165795941
Perak,2019-09-01,total,841.0629174646176
Pulau Pinang,2019-09-01,total,990.9751595782385
Perlis,2019-09-01,total,1054.561758903318
Melaka,2019-09-01,total,1061.3430743547522
Sabah,2019-09-01,total,1013.5455155958302
Johor,2019-09-01,total,1183.7200682753285
Kelantan,2019-10-01,total,1006.7899337128006
Negeri Sembilan,2019-10-01,total,966.0107268474667
Terengganu,2019-10-01,total,953.2756890251865
Kedah,2019-10-01,total,865.884498979579
Sarawak,2019-10-01,total,1068.1929099911565
Pahang,2019-10-01,total,1086.589488655427
W.P. Labuan,2019-10-01,total,949.0503819569793
Selangor,2019-10-01,total,1033.179207569906
Perak,2019-10-01,total,860.2869121666015
Pulau Pinang,2019-10-01,total,828.951336233096
Perlis,2019-10-01,total,1194.925793241641
Melaka,2019-10-01,total,1206.2414080425128
Sabah,2019-10-01,total,849.5766542794631
Johor,2019-10-01,total,1004.6401908554053
Kelantan,2019-11-01,total,1021.191077527653
Negeri Sembilan,2019-11-01,total,940.1463451990106
Terengganu,2019-11-01,total,1029.6861264012025
Kedah,2019-11-01,total,1071.872683197946
Sarawak,2019-11-01,total,997.7848866892909
Pahang,2019-11-01,total,1025.6449219107192
W.P. Labuan,2019-11-01,total,846.4028737988947
Selangor,2019-11-01,total,1017.9760191230741
Perak,2019-11-01,total,833.9038400255113
Pulau Pinang,2019-11-01,total,921.148300162954
Perlis,2019-11-01,total,1041.1751469178819
Melaka,2019-11-01,total,895.1626359099672
Sabah,2019-11-01,total,1170.644254617335
Johor,2019-11-01,total,1063.9089812470133
Kelantan,2019-12-01,total,873.0172655412734
Negeri Sembilan,2019-12-01,total,876.5854163462096
Terengganu,2019-12-01,total,836.0555604440126
Kedah,2019-12-01,total,1011.1196332743474
Sarawak,2019-12-01,total,853.6534894536986
Pahang,2019-12-01,total,1147.202911337306
W.P. Labuan,2019-12-01,total,955.4844593555754
Selangor,2019-12-01,total,792.2110559407126
Perak,2019-12-01,total,1000.4683795397192
Pulau Pinang,2019-12-01,total,1167.1886757154748
Perlis,2019-12-01,total,793.8592429089184
Melaka,2019-12-01,total,946.1317005073947
Sabah,2019-12-01,total,1088.5296635256623
Johor,2019-12-01,total,827.4210555681597
Kelantan,2020-01-01,total,960.3915044715307
Negeri Sembilan,2020-01-01,total,825.8353523783173
Terengganu,2020-01-01,total,1189.6109099688745
Kedah,2020-01-01,total,1060.7702439912484
Sarawak,2020-01-01,total,1042.9556942188142
Pahang,2020-01-01,total,1002.8395564955933
W.P. Labuan,2020-01-01,total,1092.976999530791
Selangor,2020-01-01,total,1044.2969429022369
Perak,2020-01-01,total,1031.259828054805
Pulau Pinang,2020-01-01,total,866.3787266647219
Perlis,2020-01-01,total,1172.2468430851993
Melaka,2020-01-01,total,938.0678060789135
Sabah,2020-01-01,total,983.8488993963441
Johor,2020-01-01,total,1107.900011972534
Kelantan,2020-02-01,total,1103.1755466841025
Negeri Sembilan,2020-02-01,total,871.1143394796383
Terengganu,2020-02-01,total,894.4403108836389
Kedah,2020-02-01,total,1032.0357472592511
Sarawak,2020-02-01,total,969.5722226826468
Pahang,2020-02-01,total,991.443468309558
W.P. Labuan,2020-02-01,total,818.2923522323906
Selangor,2020-02-01,total,1136.76382489272
Perak,2020-02-01,total,983.3933697682174
Pulau Pinang,2020-02-01,total,1073.1056781922625
Perlis,2020-02-01,total,1084.7608726306794
Melaka,2020-02-01,total,1159.0625174361835
Sabah,2020-02-01,total,950.8405593561085
Johor,2020-02-01,total,986.5555228232608
Kelantan,2020-03-01,total,1012.0631751563172
Negeri Sembilan,2020-03-01,total,859.0081160543964
Terengganu,2020-03-01,total,843.6952053327651
Kedah,2020-03-01,total,963.3406173705029
Sarawak,2020-03-01,total,965.4719226191728
Pahang,2020-03-01,total,814.0041956292531
W.P. Labuan,2020-03-01,total,1087.7646284452082
Selangor,2020-03-01,total,907.575516430445
Perak,2020-03-01,total,881.8157581910419
Pulau Pinang,2020-03-01,total,1007.0569311802595
Perlis,2020-03-01,total,984.7659656787838
Melaka,2020-03-01,total,821.5400082013512
Sabah,2020-03-01,total,833.4647069766304
Johor,2020-03-01,total,1076.8547149529638
Kelantan,2020-04-01,total,773.3329341326199
Negeri Sembilan,2020-04-01,total,953.1661031484462
Terengganu,2020-04-01,total,829.5254158130526
Kedah,2020-04-01,total,749.551754145719
Sarawak,2020-04-01,total,799.5760101205509
Pahang,2020-04-01,total,681.3999009400346
W.P. Labuan,2020-04-01,total,928.4300713370912
Selangor,2020-04-01,total,674.4035307980005
Perak,2020-04-01,total,672.3469149089813
Pulau Pinang,2020-04-01,total,999.4214670583592
Perlis,2020-04-01,total,966.9879973559237
Melaka,2020-04-01,total,889.4546435265497
Sabah,2020-04-01,total,858.976123319977
Johor,2020-04-01,total,908.481791738522
Kelantan,2020-05-01,total,1084.7520087297785
Negeri Sembilan,2020-05-01,total,810.7993517237397
Terengganu,2020-05-01,total,955.9869356228369
Kedah,2020-05-01,total,793.9201708062589
Sarawak,2020-05-01,total,1122.3807777829165
Pahang,2020-05-01,total,939.1288168889198
W.P. Labuan,2020-05-01,total,963.2556866085538
Selangor,2020-05-01,total,903.4624619178946
Perak,2020-05-01,total,838.6111435359128
Pulau Pinang,2020-05-01,total,1032.914986084263
Perlis,2020-05-01,total,1094.8577462181768
Melaka,2020-05-01,total,990.0634932118301
Sabah,2020-05-01,total,1043.0731388264558
Johor,2020-05-01,total,761.5522062135857
Kelantan,2020-06-01,total,814.3819122901199
Negeri Sembilan,2020-06-01,total,1038.8558587224231
Terengganu,2020-06-01,total,874.200669838933
Kedah,2020-06-01,total,823.7383450224495
Sarawak,2020-06-01,total,774.4639228689016
Pahang,2020-06-01,total,915.780782184395
W.P. Labuan,2020-06-01,total,834.0654424781228
Selangor,2020-06-01,total,936.2686227098822
Perak,2020-06-01,total,957.5100306146339
Pulau Pinang,2020-06-01,total,1135.4137030955328
Perlis,2020-06-01,total,1033.3113474608977
Melaka,2020-06-01,total,818.7504071389268
Sabah,2020-06-01,total,773.8160052379683
Johor,2020-06-01,total,964.0612742483845
Kelantan,2020-07-01,total,1129.5435540206597
Negeri Sembilan,2020-07-01,total,810.1968783532681
Terengganu,2020-07-01,total,809.7771753872016
Kedah,2020-07-01,total,818.8121896141712
Sarawak,2020-07-01,total,815.1042438953933
Pahang,2020-07-01,total,905.0366438611983
W.P. Labuan,2020-07-01,total,854.9984321482839
Selangor,2020-07-01,total,985.1569111374642
Perak,2020-07-01,total,984.7459968239604
Pulau Pinang,2020-07-01,total,1137.7537553233058
Perlis,2020-07-01,total,1020.256782759982
Melaka,2020-07-01,total,831.0026775776433
Sabah,2020-07-01,total,963.6224669552067
Johor,2020-07-01,total,915.8683147953341
Kelantan,2020-08-01,total,981.3365866041362
Negeri Sembilan,2020-08-01,total,963.6013273706254
Terengganu,2020-08-01,total,1211.9301874586913
Kedah,2020-08-01,total,816.5433475605378
Sarawak,2020-08-01,total,1177.429623754046
Pahang,2020-08-01,total,1030.018274338934
W.P. Labuan,2020-08-01,total,1144.412309517749
Selangor,2020-08-01,total,973.0586721642295
Perak,2020-08-01,total,864.4565910273811
Pulau Pinang,2020-08-01,total,888.9441974195402
Perlis,2020-08-01,total,1084.4068343292668
Melaka,2020-08-01,total,866.9451661310233
Sabah,2020-08-01,total,825.0037449421277
Johor,2020-08-01,total,991.3764472986537
Kelantan,2020-09-01,total,887.9581104795741
Negeri Sembilan,2020-09-01,total,1058.8761651133557
Terengganu,2020-09-01,total,1146.900976410548
Kedah,2020-09-01,total,908.3107675110143
Sarawak,2020-09-01,total,1110.8624759177103
Pahang,2020-09-01,total,889.6100425124681
W.P. Labuan,2020-09-01,total,947.3137730858764
Selangor,2020-09-01,total,1026.2015153262535
Perak,2020-09-01,total,871.2688821119581
Pulau Pinang,2020-09-01,total,1022.2269923313639
Perlis,2020-09-01,total,1140.148173032987
Melaka,2020-09-01,total,1113.64348677437
Sabah,2020-09-01,total,1069.9697643114318
Johor,2020-09-01,total,893.2112885376563
Kelantan,2020-10-01,total,822.2414889640658
Negeri Sembilan,2020-10-01,total,966.218785184017
Terengganu,2020-10-01,total,1060.1973294309064
Kedah,2020-10-01,total,826.7447906774344
Sarawak,2020-10-01,total,1216.2972416615462
Pahang,2020-10-01,total,925.3941923842524
W.P. Labuan,2020-10-01,total,937.062380067001
Selangor,2020-10-01,total,971.6964728949077
Perak,2020-10-01,total,979.4901387290085
Pulau Pinang,2020-10-01,total,1063.4169305592318
Perlis,2020-10-01,total,901.6801952938142
Melaka,2020-10-01,total,843.2695390646036
Sabah,2020-10-01,total,964.3410014971112
Johor,2020-10-01,total,1174.8760549287454
Kelantan,2020-11-01,total,1074.1567301461914
Negeri Sembilan,2020-11-01,total,1110.2551405661616
Terengganu,2020-11-01,total,1024.7176968310537
Kedah,2020-11-01,total,979.0365810292132
Sarawak,2020-11-01,total,945.5964088142618
Pahang,2020-11-01,total,909.3229068474797
W.P. Labuan,2020-11-01,total,1077.6218274587227
Selangor,2020-11-01,total,809.6303144290611
Perak,2020-11-01,total,927.5100373750097
Pulau Pinang,2020-11-01,total,819.5160266740841
Perlis,2020-11-01,total,788.8490339157283
Melaka,2020-11-01,total,1069.5272801678086
Sabah,2020-11-01,total,1048.4852016415587
Johor,2020-11-01,total,1005.1470724211515
Kelantan,2020-12-01,total,843.422440429909
Negeri Sembilan,2020-12-01,total,900.6770510995635
Terengganu,2020-12-01,total,1091.6940734931325
Kedah,2020-12-01,total,848.8298051607785
Sarawak,2020-12-01,total,986.987347858372
Pahang,2020-12-01,total,1162.7617477817166
W.P. Labuan,2020-12-01,total,963.722191381956
Selangor,2020-12-01,total,972.5339293940226
Perak,2020-12-01,total,1167.4627303703385
Pulau Pinang,2020-12-01,total,1048.6443734081608
Perlis,2020-12-01,total,980.6283465957197
Melaka,2020-12-01,total,1173.6386978402688
Sabah,2020-12-01,total,1141.0238887754263
Johor,2020-12-01,total,839.9816345017202
Kelantan,2021-01-01,total,887.5011198251676
Negeri Sembilan,2021-01-01,total,1066.044278201222
Terengganu,2021-01-01,total,921.3100216274414
Kedah,2021-01-01,total,1076.5324351072863
Sarawak,2021-01-01,total,1062.463541440684
Pahang,2021-01-01,total,1148.9100749144936
W.P. Labuan,2021-01-01,total,1048.5967370040444
Selangor,2021-01-01,total,905.5030080993952
Perak,2021-01-01,total,852.9853389070922
Pulau Pinang,2021-01-01,total,1109.7177663373527
Perlis,2021-01-01,total,975.5803853453161
Melaka,2021-01-01,total,1070.2047527249192
Sabah,2021-01-01,total,1037.3568815964989
Johor,2021-01-01,total,1003.9124482055453
Kelantan,2021-02-01,total,804.4876427430519
Negeri Sembilan,2021-02-01,total,831.2514188962526
Terengganu,2021-02-01,total,740.906785662258
Kedah,2021-02-01,total,1062.602560180202
Sarawak,2021-02-01,total,1074.0108131076086
Pahang,2021-02-01,total,831.8280042497329
W.P. Labuan,2021-02-01,total,914.3650591839513
Selangor,2021-02-01,total,1027.6508321434653
Perak,2021-02-01,total,1039.5743343197498
Pulau Pinang,2021-02-01,total,788.4281024627066
Perlis,2021-02-01,total,943.6169243117956
Melaka,2021-02-01,total,956.8383429353586
Sabah,2021-02-01,total,751.9972779498521
Johor,2021-02-01,total,965.6482849881722
Kelantan,2021-03-01,total,1192.5661202475544
Negeri Sembilan,2021-03-01,total,1014.3885931329605
Terengganu,2021-03-01,total,871.0824321637589
Kedah,2021-03-01,total,1149.4774443975718
Sarawak,2021-03-01,total,905.6439496481164
Pahang,2021-03-01,total,1061.1707817713507
W.P. Labuan,2021-03-01,total,1135.4148623807002
Selangor,2021-03-01,total,961.0652966825982
Perak,2021-03-01,total,851.9945233300746
Pulau Pinang,2021-03-01,total,1145.2236026087216
Perlis,2021-03-01,total,1235.6574152184755
Melaka,2021-03-01,total,1208.5955382360348
Sabah,2021-03-01,total,935.4391552837088
Johor,2021-03-01,total,859.1542703687985
Kelantan,2021-04-01,total,883.3767785079352
Negeri Sembilan,2021-04-01,total,978.4807301484357
Terengganu,2021-04-01,total,1181.9710734065918
Kedah,2021-04-01,total,1213.690104445351
Sarawak,2021-04-01,total,1123.030407646474
Pahang,2021-04-01,total,1138.2237539206062
W.P. Labuan,2021-04-01,total,861.9947932408888
Selangor,2021-04-01,total,1099.8566768222352
Perak,2021-04-01,total,917.2186540931225
Pulau Pinang,2021-04-01,total,877.0858752351267
Perlis,2021-04-01,total,1073.578966090496
Melaka,2021-04-01,total,1121.2899394526628
Sabah,2021-04-01,total,855.7849362046348
Johor,2021-04-01,total,1007.08759727814
Kelantan,2021-05-01,total,945.2550888109923
Negeri Sembilan,2021-05-01,total,1006.5288860565985
Terengganu,2021-05-01,total,1079.1375687689595
Kedah,2021-05-01,total,1195.9601281797206
Sarawak,2021-05-01,total,989.6803927381876
Pahang,2021-05-01,total,1049.6462818532302
W.P. Labuan,2021-05-01,total,1075.8886567687737
Selangor,2021-05-01,total,880.6913483720167
Perak,2021-05-01,total,993.417681754534
Pulau Pinang,2021-05-01,total,1032.1930897571112
Perlis,2021-05-01,total,1001.591321405502
Melaka,2021-05-01,total,1012.4670484071569
Sabah,2021-05-01,total,868.8110359959181
Johor,2021-05-01,total,942.9651856723849
Kelantan,2021-06-01,total,758.812218253534
Negeri Sembilan,2021-06-01,total,1023.5023288987686
Terengganu,2021-06-01,total,830.4892783313367
Kedah,2021-06-01,total,889.3511255296356
Sarawak,2021-06-01,total,967.4356500737312
Pahang,2021-06-01,total,835.6926743406083
W.P. Labuan,2021-06-01,total,1029.1454307478657
Selangor,2021-06-01,total,992.5459325268075
Perak,2021-06-01,total,1065.8651582045795
Pulau Pinang,2021-06-01,total,921.3743069586976
Perlis,2021-06-01,total,955.0400965106963
Melaka,2021-06-01,total,911.2439386228594
Sabah,2021-06-01,total,1013.2092905926934
Johor,2021-06-01,total,900.8589786238955
Kelantan,2021-07-01,total,910.5058887564477
Negeri Sembilan,2021-07-01,total,821.2017991849701
Terengganu,2021-07-01,total,966.4814119723013
Kedah,2021-07-01,total,1131.03889697577
Sarawak,2021-07-01,total,1023.7232659020078
Pahang,2021-07-01,total,980.7112717901031
W.P. Labuan,2021-07-01,total,767.8431269622666
Selangor,2021-07-01,total,980.2296624429107
Perak,2021-07-01,total,907.8525658212722
Pulau Pinang,2021-07-01,total,806.5352383188449
Perlis,2021-07-01,total,1127.266465732786
Melaka,2021-07-01,total,1091.7511133651287
